nom;taille;temps;comparaison;echange;couleur
Tri a bulle;21;2.1000014385208488e-05;204;99;#EECC66
Tri a bulle;22;2.069998299703002e-05;216;87;#EECC66
Tri a bulle;22;2.050003968179226e-05;203;105;#EECC66
Tri a bulle;22;2.1799991372972727e-05;225;97;#EECC66
Tri a bulle;22;2.400000812485814e-05;230;136;#EECC66
Tri a bulle;22;2.2799998987466097e-05;231;92;#EECC66
Tri a bulle;23;2.6499968953430653e-05;250;131;#EECC66
Tri a bulle;23;2.629996743053198e-05;238;154;#EECC66
Tri a bulle;23;4.490005085244775e-05;247;135;#EECC66
Tri a bulle;23;2.2199994418770075e-05;232;110;#EECC66
Tri a bulle;23;2.7400004910305142e-05;243;143;#EECC66
Tri a bulle;24;2.4600012693554163e-05;255;100;#EECC66
Tri a bulle;24;2.700003096833825e-05;261;162;#EECC66
Tri a bulle;24;4.6900007873773575e-05;266;137;#EECC66
Tri a bulle;24;2.5699991965666413e-05;255;142;#EECC66
Tri a bulle;24;3.159997868351638e-05;273;180;#EECC66
Tri a bulle;25;2.8699985705316067e-05;285;121;#EECC66
Tri a bulle;25;2.95999925583601e-05;279;175;#EECC66
Tri a bulle;25;5.490001058205962e-05;300;163;#EECC66
Tri a bulle;25;2.540001878514886e-05;272;116;#EECC66
Tri a bulle;25;2.8799986466765404e-05;285;121;#EECC66
Tri a bulle;26;3.360002301633358e-05;315;183;#EECC66
Tri a bulle;26;3.069994272664189e-05;322;144;#EECC66
Tri a bulle;26;5.370000144466758e-05;304;163;#EECC66
Tri a bulle;26;3.120000474154949e-05;322;150;#EECC66
Tri a bulle;26;3.399999695830047e-05;325;154;#EECC66
Tri a bulle;27;3.2699957955628633e-05;341;146;#EECC66
Tri a bulle;27;3.130000550299883e-05;306;170;#EECC66
Tri a bulle;27;6.330001633614302e-05;336;215;#EECC66
Tri a bulle;27;3.5999983083456755e-05;351;169;#EECC66
Tri a bulle;27;3.250001464039087e-05;315;152;#EECC66
Tri a bulle;28;2.989999484270811e-05;312;132;#EECC66
Tri a bulle;28;3.659998765215278e-05;363;202;#EECC66
Tri a bulle;28;5.670002428814769e-05;363;165;#EECC66
Tri a bulle;28;3.789999755099416e-05;378;187;#EECC66
Tri a bulle;28;3.99000127799809e-05;350;222;#EECC66
Tri a bulle;29;3.4400029107928276e-05;370;134;#EECC66
Tri a bulle;29;3.99000127799809e-05;396;215;#EECC66
Tri a bulle;29;7.109995931386948e-05;400;245;#EECC66
Tri a bulle;29;4.220000118948519e-05;406;229;#EECC66
Tri a bulle;29;4.1799998143687844e-05;391;221;#EECC66
Tri a bulle;30;4.1599967516958714e-05;414;202;#EECC66
Tri a bulle;30;4.309997893869877e-05;420;240;#EECC66
Tri a bulle;30;7.539999205619097e-05;432;254;#EECC66
Tri a bulle;30;5.540001438930631e-05;390;188;#EECC66
Tri a bulle;30;2.6500027161091566e-05;434;175;#EECC66
Tri a bulle;30;4.439998883754015e-05;434;219;#EECC66
Tri a bulle;30;4.409998655319214e-05;399;190;#EECC66
Tri a bulle;30;4.640000406652689e-05;420;244;#EECC66
Tri a bulle;30;7.219996768981218e-05;434;221;#EECC66
Tri a bulle;30;0.00014239997835829854;380;168;#EECC66
Tri a bulle;30;0.0001564000267535448;429;210;#EECC66
Tri a bulle;30;9.450002107769251e-05;420;217;#EECC66
Tri a bulle;30;5.639999289996922e-05;425;153;#EECC66
Tri a bulle;30;8.520000847056508e-05;420;212;#EECC66
Tri a bulle;30;6.299998494796455e-05;432;232;#EECC66
Tri a bulle;30;6.86999992467463e-05;380;186;#EECC66
Tri a bulle;30;0.00010030000703409314;434;181;#EECC66
Tri a bulle;30;4.339998122304678e-05;425;215;#EECC66
Tri a bulle;30;5.229999078437686e-05;434;228;#EECC66
Tri a bulle;31;4.499999340623617e-05;455;210;#EECC66
Tri a bulle;31;3.9700011257082224e-05;420;188;#EECC66
Tri a bulle;31;7.619999814778566e-05;455;227;#EECC66
Tri a bulle;31;4.169999738223851e-05;429;207;#EECC66
Tri a bulle;31;4.889999399892986e-05;450;255;#EECC66
Tri a bulle;32;5.1799986977130175e-05;495;263;#EECC66
Tri a bulle;32;4.8799964133650064e-05;475;271;#EECC66
Tri a bulle;32;8.650001836940646e-05;490;284;#EECC66
Tri a bulle;32;5.2400020649656653e-05;486;307;#EECC66
Tri a bulle;32;4.500002251006663e-05;441;207;#EECC66
Tri a bulle;33;5.0900038331747055e-05;527;217;#EECC66
Tri a bulle;33;5.6500022765249014e-05;525;315;#EECC66
Tri a bulle;33;9.349995525553823e-05;522;310;#EECC66
Tri a bulle;33;5.339999916031957e-05;527;262;#EECC66
Tri a bulle;33;5.639999289996922e-05;507;291;#EECC66
Tri a bulle;34;5.339999916031957e-05;540;253;#EECC66
Tri a bulle;34;5.319999763742089e-05;546;243;#EECC66
Tri a bulle;34;8.550001075491309e-05;555;223;#EECC66
Tri a bulle;34;5.77000027988106e-05;551;319;#EECC66
Tri a bulle;34;5.539998528547585e-05;533;246;#EECC66
Tri a bulle;35;6.360001862049103e-05;592;319;#EECC66
Tri a bulle;35;5.2499992307275534e-05;529;257;#EECC66
Tri a bulle;35;9.569997200742364e-05;574;288;#EECC66
Tri a bulle;35;5.3499999921768904e-05;550;260;#EECC66
Tri a bulle;35;6.120000034570694e-05;585;287;#EECC66
Tri a bulle;36;6.539997411891818e-05;609;331;#EECC66
Tri a bulle;36;6.649998249486089e-05;615;356;#EECC66
Tri a bulle;36;0.00010160001693293452;609;305;#EECC66
Tri a bulle;36;6.209997809492052e-05;627;307;#EECC66
Tri a bulle;36;6.44999963697046e-05;627;306;#EECC66
Tri a bulle;37;7.090001599863172e-05;666;332;#EECC66
Tri a bulle;37;6.779999239370227e-05;656;340;#EECC66
Tri a bulle;37;0.00011069996980950236;660;321;#EECC66
Tri a bulle;37;6.479999865405262e-05;645;328;#EECC66
Tri a bulle;37;5.740000051446259e-05;611;247;#EECC66
Tri a bulle;38;6.940000457689166e-05;658;344;#EECC66
Tri a bulle;38;5.8999983593821526e-05;598;274;#EECC66
Tri a bulle;38;0.00011660001473501325;693;335;#EECC66
Tri a bulle;38;7.259999983943999e-05;697;349;#EECC66
Tri a bulle;38;7.100001676008105e-05;667;347;#EECC66
Tri a bulle;39;7.399998139590025e-05;713;354;#EECC66
Tri a bulle;39;8.590001380071044e-05;735;412;#EECC66
Tri a bulle;39;0.00010899995686486363;675;339;#EECC66
Tri a bulle;39;7.839998579584062e-05;738;418;#EECC66
Tri a bulle;39;7.139999070204794e-05;726;318;#EECC66
Tri a bulle;40;8.779997006058693e-05;744;426;#EECC66
Tri a bulle;40;7.109995931386948e-05;714;316;#EECC66
Tri a bulle;40;0.00011930003529414535;714;411;#EECC66
Tri a bulle;40;0.0001142999972216785;777;379;#EECC66
Tri a bulle;40;5.400000372901559e-05;777;438;#EECC66
Tri a bulle;40;7.859995821490884e-05;777;368;#EECC66
Tri a bulle;40;7.27999722585082e-05;759;398;#EECC66
Tri a bulle;40;9.300000965595245e-05;777;457;#EECC66
Tri a bulle;40;0.00010790000669658184;779;368;#EECC66
Tri a bulle;40;0.00020349997794255614;774;451;#EECC66
Tri a bulle;40;0.00012009998317807913;774;428;#EECC66
Tri a bulle;40;0.00018689999706111848;774;444;#EECC66
Tri a bulle;40;0.00012310000602155924;779;406;#EECC66
Tri a bulle;40;9.819999104365706e-05;735;342;#EECC66
Tri a bulle;40;0.00010960001964122057;780;391;#EECC66
Tri a bulle;40;0.00016310001956298947;752;348;#EECC66
Tri a bulle;40;0.00010730000212788582;770;390;#EECC66
Tri a bulle;40;7.159999222494662e-05;735;360;#EECC66
