nom;taille;temps;comparaison;echange;couleur
Tri par insertion;40;3.6699988413602114e-05;354;316;#997700
Tri par insertion;40;4.8799964133650064e-05;445;411;#997700
Tri par insertion;40;4.45000478066504e-05;438;401;#997700
Tri par insertion;40;4.4599990360438824e-05;396;357;#997700
Tri par insertion;40;5.819997750222683e-05;416;379;#997700
Tri par insertion;40;0.00011369999265298247;459;423;#997700
Tri par insertion;40;4.96999709866941e-05;433;398;#997700
Tri par insertion;41;3.6999990697950125e-05;345;310;#997700
Tri par insertion;41;4.449998959898949e-05;422;386;#997700
Tri par insertion;41;5.4100004490464926e-05;484;449;#997700
Tri par insertion;42;5.319999763742089e-05;480;444;#997700
Tri par insertion;42;5.690002581104636e-05;449;415;#997700
Tri par insertion;42;7.010000990703702e-05;481;443;#997700
Tri par insertion;43;5.590001819655299e-05;504;464;#997700
Tri par insertion;43;5.1499984692782164e-05;468;427;#997700
Tri par insertion;43;6.67999847792089e-05;581;544;#997700
Tri par insertion;44;5.9500045608729124e-05;531;492;#997700
Tri par insertion;44;5.3800002206116915e-05;491;448;#997700
Tri par insertion;44;5.3800002206116915e-05;484;445;#997700
Tri par insertion;45;7.059995550662279e-05;624;585;#997700
Tri par insertion;45;6.740004755556583e-05;598;558;#997700
Tri par insertion;45;5.689996760338545e-05;511;471;#997700
Tri par insertion;46;6.620003841817379e-05;589;548;#997700
Tri par insertion;46;6.089999806135893e-05;547;503;#997700
Tri par insertion;46;5.7100027333945036e-05;511;469;#997700
Tri par insertion;47;6.740004755556583e-05;601;557;#997700
Tri par insertion;47;7.219996768981218e-05;638;595;#997700
Tri par insertion;47;6.770004983991385e-05;598;556;#997700
Tri par insertion;48;5.8299978263676167e-05;526;481;#997700
Tri par insertion;48;6.799999391660094e-05;605;562;#997700
Tri par insertion;48;6.429996574297547e-05;570;525;#997700
Tri par insertion;49;9.47999651543796e-05;833;796;#997700
Tri par insertion;49;7.880001794546843e-05;694;648;#997700
Tri par insertion;49;6.049999501556158e-05;539;493;#997700
Tri par insertion;50;7.260002894327044e-05;648;602;#997700
Tri par insertion;50;6.629998097196221e-05;583;537;#997700
Tri par insertion;50;7.120001828297973e-05;634;591;#997700
Tri par insertion;50;6.280001252889633e-05;588;544;#997700
Tri par insertion;50;7.869995897635818e-05;671;625;#997700
Tri par insertion;50;8.329999400302768e-05;577;530;#997700
Tri par insertion;50;0.00015169999096542597;615;570;#997700
Tri par insertion;50;7.090001599863172e-05;672;629;#997700
Tri par insertion;51;7.399998139590025e-05;657;612;#997700
Tri par insertion;51;7.199996616691351e-05;625;581;#997700
Tri par insertion;51;8.139997953549027e-05;716;670;#997700
Tri par insertion;52;6.549997488036752e-05;586;538;#997700
Tri par insertion;52;8.640001760795712e-05;746;697;#997700
Tri par insertion;52;7.589999586343765e-05;669;624;#997700
Tri par insertion;53;6.2700011767447e-05;563;514;#997700
Tri par insertion;53;8.289999095723033e-05;717;669;#997700
Tri par insertion;53;9.099999442696571e-05;795;747;#997700
Tri par insertion;54;0.00010459998156875372;909;861;#997700
Tri par insertion;54;8.720002369955182e-05;766;714;#997700
Tri par insertion;54;9.599997429177165e-05;838;786;#997700
Tri par insertion;55;9.929999941959977e-05;863;812;#997700
Tri par insertion;55;8.610001532360911e-05;761;709;#997700
Tri par insertion;55;9.009998757392168e-05;796;744;#997700
Tri par insertion;56;9.879999561235309e-05;874;822;#997700
