nom;taille;temps;comparaison;echange;couleur
Tri par tas;15;2.6699999580159783e-05;159;46;#FDE725
Tri par tas;16;1.5600002370774746e-05;174;50;#FDE725
Tri par tas;16;1.8000020645558834e-05;195;57;#FDE725
Tri par tas;16;3.4100026823580265e-05;183;53;#FDE725
Tri par tas;16;2.3500004317611456e-05;189;55;#FDE725
Tri par tas;16;1.7799960914999247e-05;183;53;#FDE725
Tri par tas;16;2.099998528137803e-05;177;51;#FDE725
Tri par tas;16;1.71000137925148e-05;192;56;#FDE725
Tri par tas;16;3.0499999411404133e-05;186;54;#FDE725
Tri par tas;17;1.7300015315413475e-05;192;56;#FDE725
Tri par tas;17;1.7499958630651236e-05;189;55;#FDE725
Tri par tas;17;3.789999755099416e-05;204;60;#FDE725
Tri par tas;17;2.3200002033263445e-05;195;57;#FDE725
Tri par tas;17;2.4699984351173043e-05;204;60;#FDE725
Tri par tas;17;1.6900012269616127e-05;186;54;#FDE725
Tri par tas;17;3.209998249076307e-05;195;57;#FDE725
Tri par tas;18;1.899997005239129e-05;216;63;#FDE725
Tri par tas;18;2.0899984519928694e-05;219;64;#FDE725
Tri par tas;18;4.140002420172095e-05;225;66;#FDE725
Tri par tas;18;2.7399975806474686e-05;225;66;#FDE725
Tri par tas;18;2.449998282827437e-05;204;59;#FDE725
Tri par tas;18;1.8499995348975062e-05;204;59;#FDE725
Tri par tas;18;3.640001523308456e-05;225;66;#FDE725
Tri par tas;19;1.999997766688466e-05;222;65;#FDE725
Tri par tas;19;2.080004196614027e-05;225;66;#FDE725
Tri par tas;19;4.1199964471161366e-05;219;64;#FDE725
Tri par tas;19;2.519995905458927e-05;207;60;#FDE725
Tri par tas;19;2.3300002794712782e-05;225;66;#FDE725
Tri par tas;19;2.8300011763349175e-05;219;64;#FDE725
Tri par tas;19;2.1099986042827368e-05;240;71;#FDE725
Tri par tas;19;3.949998063035309e-05;237;70;#FDE725
Tri par tas;20;2.2099993657320738e-05;249;73;#FDE725
Tri par tas;20;2.269999822601676e-05;246;72;#FDE725
Tri par tas;20;4.449998959898949e-05;243;71;#FDE725
Tri par tas;20;3.589998232200742e-05;249;73;#FDE725
Tri par tas;20;2.6499968953430653e-05;246;72;#FDE725
Tri par tas;20;2.6799971237778664e-05;264;78;#FDE725
Tri par tas;20;2.9699993319809437e-05;252;74;#FDE725
Tri par tas;20;5.2499992307275534e-05;249;73;#FDE725
Tri par tas;20;1.9000028260052204e-05;264;78;#FDE725
Tri par tas;20;3.450002986937761e-05;237;69;#FDE725
Tri par tas;20;2.95999925583601e-05;246;72;#FDE725
Tri par tas;20;2.700003096833825e-05;249;73;#FDE725
Tri par tas;20;4.549999721348286e-05;237;69;#FDE725
Tri par tas;20;2.7300033252686262e-05;255;75;#FDE725
Tri par tas;20;5.630002124235034e-05;252;74;#FDE725
Tri par tas;20;5.779997445642948e-05;249;73;#FDE725
Tri par tas;20;2.95999925583601e-05;255;75;#FDE725
Tri par tas;20;2.629996743053198e-05;225;65;#FDE725
Tri par tas;20;6.350001785904169e-05;249;73;#FDE725
Tri par tas;20;5.15999854542315e-05;240;70;#FDE725
Tri par tas;20;4.2600033339113e-05;240;70;#FDE725
Tri par tas;20;2.579999272711575e-05;237;69;#FDE725
Tri par tas;20;4.2100000428035855e-05;252;74;#FDE725
Tri par tas;20;3.320001997053623e-05;234;68;#FDE725
Tri par tas;20;3.789999755099416e-05;246;72;#FDE725
Tri par tas;20;5.269999383017421e-05;234;68;#FDE725
Tri par tas;20;3.840000135824084e-05;249;73;#FDE725
Tri par tas;20;3.999998443759978e-05;249;73;#FDE725
Tri par tas;20;3.020002623088658e-05;243;71;#FDE725
Tri par tas;20;6.650001159869134e-05;264;78;#FDE725
Tri par tas;20;7.159999222494662e-05;252;74;#FDE725
Tri par tas;20;5.229999078437686e-05;249;73;#FDE725
Tri par tas;20;3.5600009141489863e-05;249;73;#FDE725
Tri par tas;20;7.509998977184296e-05;240;70;#FDE725
Tri par tas;20;3.6299985367804766e-05;243;71;#FDE725
Tri par tas;20;3.460000152699649e-05;255;75;#FDE725
Tri par tas;20;3.369999467395246e-05;237;69;#FDE725
Tri par tas;20;5.09000092279166e-05;240;70;#FDE725
Tri par tas;20;2.300000051036477e-05;258;76;#FDE725
Tri par tas;20;3.9700011257082224e-05;243;71;#FDE725
Tri par tas;20;2.1000000003823516e-05;261;77;#FDE725
Tri par tas;20;3.869999636663124e-05;258;76;#FDE725
Tri par tas;20;2.7499998395796865e-05;240;70;#FDE725
Tri par tas;20;3.2000003557186574e-05;246;72;#FDE725
Tri par tas;20;2.7000001864507794e-05;249;73;#FDE725
Tri par tas;20;2.5199995434377342e-05;231;67;#FDE725
Tri par tas;20;7.77000022935681e-05;243;71;#FDE725
Tri par tas;20;3.0199997127056122e-05;243;71;#FDE725
Tri par tas;20;2.6699999580159783e-05;252;74;#FDE725
Tri par tas;20;2.6400004571769387e-05;234;68;#FDE725
Tri par tas;21;2.440001117065549e-05;270;80;#FDE725
Tri par tas;21;2.459995448589325e-05;261;77;#FDE725
Tri par tas;21;5.2499992307275534e-05;276;82;#FDE725
Tri par tas;21;3.93999507650733e-05;264;78;#FDE725
Tri par tas;21;3.2100011594593525e-05;261;77;#FDE725
Tri par tas;21;6.459999713115394e-05;249;73;#FDE725
Tri par tas;21;2.750000567175448e-05;261;77;#FDE725
Tri par tas;21;4.1399995097890496e-05;249;73;#FDE725
Tri par tas;22;2.440001117065549e-05;270;79;#FDE725
Tri par tas;22;2.5800021830946207e-05;276;81;#FDE725
Tri par tas;22;5.1799986977130175e-05;276;81;#FDE725
Tri par tas;22;3.200001083314419e-05;264;77;#FDE725
